 

stn;time;htoautj0
SLFVD2;20191001;0
SLFVD2;20191002;0
SLFVD2;20191003;0
SLFVD2;20191004;0
SLFVD2;20191005;0
SLFVD2;20191006;0
SLFVD2;20191007;0
SLFVD2;20191008;0
SLFVD2;20191009;0
SLFVD2;20191010;0
SLFVD2;20191011;0
SLFVD2;20191012;0
SLFVD2;20191013;0
SLFVD2;20191014;0
SLFVD2;20191015;0
SLFVD2;20191016;0
SLFVD2;20191017;7
SLFVD2;20191018;8
SLFVD2;20191019;7
SLFVD2;20191020;6
SLFVD2;20191021;8
SLFVD2;20191022;7
SLFVD2;20191023;7
SLFVD2;20191024;7
SLFVD2;20191025;6
SLFVD2;20191026;6
SLFVD2;20191027;6
SLFVD2;20191028;8
SLFVD2;20191029;7
SLFVD2;20191030;8
SLFVD2;20191031;7
SLFVD2;20191101;10
SLFVD2;20191102;7
SLFVD2;20191103;17
SLFVD2;20191104;44
SLFVD2;20191105;52
SLFVD2;20191106;57
SLFVD2;20191107;57
SLFVD2;20191108;63
SLFVD2;20191109;59
SLFVD2;20191110;55
SLFVD2;20191111;52
SLFVD2;20191112;50
SLFVD2;20191113;49
SLFVD2;20191114;49
SLFVD2;20191115;58
SLFVD2;20191116;56
SLFVD2;20191117;59
SLFVD2;20191118;59
SLFVD2;20191119;55
SLFVD2;20191120;54
SLFVD2;20191121;53
SLFVD2;20191122;53
SLFVD2;20191123;52
SLFVD2;20191124;51
SLFVD2;20191125;49
SLFVD2;20191126;48
SLFVD2;20191127;62
SLFVD2;20191128;88
SLFVD2;20191129;117
SLFVD2;20191130;116
SLFVD2;20191201;115
SLFVD2;20191202;112
SLFVD2;20191203;105
SLFVD2;20191204;102
SLFVD2;20191205;98
SLFVD2;20191206;95
SLFVD2;20191207;94
SLFVD2;20191208;92
SLFVD2;20191209;133
SLFVD2;20191210;133
SLFVD2;20191211;125
SLFVD2;20191212;125
SLFVD2;20191213;169
SLFVD2;20191214;168
SLFVD2;20191215;156
SLFVD2;20191216;150
SLFVD2;20191217;146
SLFVD2;20191218;142
SLFVD2;20191219;139
SLFVD2;20191220;145
SLFVD2;20191221;151
SLFVD2;20191222;185
SLFVD2;20191223;197
SLFVD2;20191224;200
SLFVD2;20191225;191
SLFVD2;20191226;187
SLFVD2;20191227;210
SLFVD2;20191228;202
SLFVD2;20191229;196
SLFVD2;20191230;192
SLFVD2;20191231;189
SLFVD2;20200101;185
SLFVD2;20200102;182
SLFVD2;20200103;179
SLFVD2;20200104;177
SLFVD2;20200105;173
SLFVD2;20200106;172
SLFVD2;20200107;170
SLFVD2;20200108;168
SLFVD2;20200109;166
SLFVD2;20200110;166
SLFVD2;20200111;164
SLFVD2;20200112;163
SLFVD2;20200113;161
SLFVD2;20200114;161
SLFVD2;20200115;159
SLFVD2;20200116;158
SLFVD2;20200117;166
SLFVD2;20200118;174
SLFVD2;20200119;165
SLFVD2;20200120;157
SLFVD2;20200121;156
SLFVD2;20200122;155
SLFVD2;20200123;154
SLFVD2;20200124;154
SLFVD2;20200125;152
SLFVD2;20200126;154
SLFVD2;20200127;155
SLFVD2;20200128;204
SLFVD2;20200129;230
SLFVD2;20200130;223
SLFVD2;20200131;223
SLFVD2;20200201;222
SLFVD2;20200202;238
SLFVD2;20200203;230
SLFVD2;20200204;261
SLFVD2;20200205;267
SLFVD2;20200206;256
SLFVD2;20200207;250
SLFVD2;20200208;246
SLFVD2;20200209;242
SLFVD2;20200210;246
SLFVD2;20200211;264
SLFVD2;20200212;283
SLFVD2;20200213;287
SLFVD2;20200214;298
SLFVD2;20200215;292
SLFVD2;20200216;286
SLFVD2;20200217;285
SLFVD2;20200218;281
SLFVD2;20200219;293
SLFVD2;20200220;288
SLFVD2;20200221;281
SLFVD2;20200222;278
SLFVD2;20200223;271
SLFVD2;20200224;267
