 

stn;time;htoautj0

SLFGL2;20161027;0
SLFGL2;20161028;0
SLFGL2;20161029;0
SLFGL2;20161030;-1
SLFGL2;20161031;0
SLFGL2;20161101;-1
SLFGL2;20161102;-2
SLFGL2;20161103;1
SLFGL2;20161104;1
SLFGL2;20161105;0
SLFGL2;20161106;15
SLFGL2;20161107;20
SLFGL2;20161108;18
SLFGL2;20161109;20
SLFGL2;20161110;53
SLFGL2;20161111;104
SLFGL2;20161112;99
SLFGL2;20161113;88
SLFGL2;20161114;44
SLFGL2;20161115;39
SLFGL2;20161116;63
SLFGL2;20161117;49
SLFGL2;20161118;44
SLFGL2;20161119;56
SLFGL2;20161120;48
SLFGL2;20161121;31
SLFGL2;20161122;21
SLFGL2;20161123;14
SLFGL2;20161124;8
SLFGL2;20161125;4
SLFGL2;20161126;6
SLFGL2;20161127;4
SLFGL2;20161128;3
SLFGL2;20161129;2
SLFGL2;20161130;2
SLFGL2;20161201;3
SLFGL2;20161202;3
SLFGL2;20161203;3
SLFGL2;20161204;3
SLFGL2;20161205;4
SLFGL2;20161206;4
SLFGL2;20161207;3
SLFGL2;20161208;3
SLFGL2;20161209;3
SLFGL2;20161210;3
SLFGL2;20161211;4
SLFGL2;20161212;2
SLFGL2;20161213;4
SLFGL2;20161214;3
SLFGL2;20161215;4
SLFGL2;20161216;4
SLFGL2;20161217;5
SLFGL2;20161218;6
SLFGL2;20161219;5
SLFGL2;20161220;4
SLFGL2;20161221;3
SLFGL2;20161222;4
SLFGL2;20161223;4
SLFGL2;20161224;4
SLFGL2;20161225;4
SLFGL2;20161226;4
SLFGL2;20161227;5
SLFGL2;20161228;4
SLFGL2;20161229;5
SLFGL2;20161230;4
SLFGL2;20161231;5
SLFGL2;20170101;4
SLFGL2;20170102;6
SLFGL2;20170103;15
SLFGL2;20170104;27
SLFGL2;20170105;66
SLFGL2;20170106;65
SLFGL2;20170107;54
SLFGL2;20170108;60
SLFGL2;20170109;54
SLFGL2;20170110;56
SLFGL2;20170111;60
SLFGL2;20170112;67
SLFGL2;20170113;114
SLFGL2;20170114;175
SLFGL2;20170115;157
SLFGL2;20170116;156
SLFGL2;20170117;144
SLFGL2;20170118;134
SLFGL2;20170119;128
SLFGL2;20170120;122
SLFGL2;20170121;116
SLFGL2;20170122;116
SLFGL2;20170123;112
SLFGL2;20170124;111
SLFGL2;20170125;109
SLFGL2;20170126;109
SLFGL2;20170127;106
SLFGL2;20170128;104
SLFGL2;20170129;104
SLFGL2;20170130;105
SLFGL2;20170131;108
SLFGL2;20170201;111
SLFGL2;20170202;107
SLFGL2;20170203;103
SLFGL2;20170204;104
SLFGL2;20170205;103
SLFGL2;20170206;115
SLFGL2;20170207;114
SLFGL2;20170208;115
SLFGL2;20170209;117
SLFGL2;20170210;114
SLFGL2;20170211;116
SLFGL2;20170212;113
SLFGL2;20170213;113
SLFGL2;20170214;110
SLFGL2;20170215;110
SLFGL2;20170216;109
SLFGL2;20170217;142
SLFGL2;20170218;133
SLFGL2;20170219;133
SLFGL2;20170220;127
SLFGL2;20170221;123
SLFGL2;20170222;116
SLFGL2;20170223;113
SLFGL2;20170224;132
SLFGL2;20170225;130
SLFGL2;20170226;125
SLFGL2;20170227;121
SLFGL2;20170228;126
SLFGL2;20170301;135
SLFGL2;20170302;145
SLFGL2;20170303;140
SLFGL2;20170304;138
SLFGL2;20170305;151
SLFGL2;20170306;189
SLFGL2;20170307;237
SLFGL2;20170308;229
SLFGL2;20170309;210
SLFGL2;20170310;204
SLFGL2;20170311;199
SLFGL2;20170312;195
SLFGL2;20170313;194
SLFGL2;20170314;192
SLFGL2;20170315;190
SLFGL2;20170316;186
SLFGL2;20170317;182
SLFGL2;20170318;182
SLFGL2;20170319;180
SLFGL2;20170320;175
SLFGL2;20170321;173
SLFGL2;20170322;175
SLFGL2;20170323;170
SLFGL2;20170324;168
SLFGL2;20170325;162
SLFGL2;20170326;161
SLFGL2;20170327;157
SLFGL2;20170328;154
SLFGL2;20170329;150
SLFGL2;20170330;146
SLFGL2;20170331;142
SLFGL2;20170401;139
SLFGL2;20170402;135
SLFGL2;20170403;131
SLFGL2;20170404;131
SLFGL2;20170405;131
SLFGL2;20170406;132
SLFGL2;20170407;128
SLFGL2;20170408;125
SLFGL2;20170409;120
SLFGL2;20170410;112
SLFGL2;20170411;109
SLFGL2;20170412;105
SLFGL2;20170413;100
SLFGL2;20170414;96
SLFGL2;20170415;94
SLFGL2;20170416;136
SLFGL2;20170417;155
SLFGL2;20170418;190
SLFGL2;20170419;193
SLFGL2;20170420;180
SLFGL2;20170421;169
SLFGL2;20170422;157
SLFGL2;20170423;151
SLFGL2;20170424;142
SLFGL2;20170425;136
SLFGL2;20170426;133
SLFGL2;20170427;147
SLFGL2;20170428;189
SLFGL2;20170429;155
SLFGL2;20170430;143
SLFGL2;20170501;157
SLFGL2;20170502;156
SLFGL2;20170503;149
SLFGL2;20170504;147
SLFGL2;20170505;142
SLFGL2;20170506;137
SLFGL2;20170507;134
SLFGL2;20170508;132
SLFGL2;20170509;131
SLFGL2;20170510;126
SLFGL2;20170511;118
SLFGL2;20170512;110
SLFGL2;20170513;102
SLFGL2;20170514;98
SLFGL2;20170515;92
SLFGL2;20170516;84
SLFGL2;20170517;75
SLFGL2;20170518;29
SLFGL2;20170519;57
SLFGL2;20170520;55
SLFGL2;20170521;49
SLFGL2;20170522;42
SLFGL2;20170523;36
SLFGL2;20170524;29
SLFGL2;20170525;20
SLFGL2;20170526;13
SLFGL2;20170527;3
SLFGL2;20170528;0
SLFGL2;20170529;0
SLFGL2;20170530;0
SLFGL2;20170531;0
SLFGL2;20170601;0

