stn;time;htoautj0
SLFGL2;20191001;13
SLFGL2;20191002;11
SLFGL2;20191003;10
SLFGL2;20191004;10
SLFGL2;20191005;7
SLFGL2;20191006;8
SLFGL2;20191007;6
SLFGL2;20191008;5
SLFGL2;20191009;8
SLFGL2;20191010;10
SLFGL2;20191011;7
SLFGL2;20191012;9
SLFGL2;20191013;5
SLFGL2;20191014;7
SLFGL2;20191015;6
SLFGL2;20191016;6
SLFGL2;20191017;8
SLFGL2;20191018;5
SLFGL2;20191019;8
SLFGL2;20191020;6
SLFGL2;20191021;8
SLFGL2;20191022;6
SLFGL2;20191023;6
SLFGL2;20191024;3
SLFGL2;20191025;3
SLFGL2;20191026;4
SLFGL2;20191027;4
SLFGL2;20191028;2
SLFGL2;20191029;3
SLFGL2;20191030;5
SLFGL2;20191031;0
SLFGL2;20191101;6
SLFGL2;20191102;5
SLFGL2;20191103;3
SLFGL2;20191104;3
SLFGL2;20191105;1
SLFGL2;20191106;5
SLFGL2;20191107;6
SLFGL2;20191108;24
SLFGL2;20191109;18
SLFGL2;20191110;16
SLFGL2;20191111;11
SLFGL2;20191112;24
SLFGL2;20191113;21
SLFGL2;20191114;20
SLFGL2;20191115;21
SLFGL2;20191116;20
SLFGL2;20191117;30
SLFGL2;20191118;26
SLFGL2;20191119;23
SLFGL2;20191120;22
SLFGL2;20191121;21
SLFGL2;20191122;18
SLFGL2;20191123;12
SLFGL2;20191124;9
SLFGL2;20191125;7
SLFGL2;20191126;6
SLFGL2;20191127;6
SLFGL2;20191128;9
SLFGL2;20191129;60
SLFGL2;20191130;73
SLFGL2;20191201;67
SLFGL2;20191202;62
SLFGL2;20191203;60
SLFGL2;20191204;57
SLFGL2;20191205;56
SLFGL2;20191206;55
SLFGL2;20191207;53
SLFGL2;20191208;51
SLFGL2;20191209;70
SLFGL2;20191210;107
SLFGL2;20191211;92
SLFGL2;20191212;111
SLFGL2;20191213;125
SLFGL2;20191214;122
SLFGL2;20191215;113
SLFGL2;20191216;105
SLFGL2;20191217;87
SLFGL2;20191218;81
SLFGL2;20191219;72
SLFGL2;20191220;65
SLFGL2;20191221;75
SLFGL2;20191222;91
SLFGL2;20191223;125
SLFGL2;20191224;131
SLFGL2;20191225;142
SLFGL2;20191226;136
SLFGL2;20191227;162
SLFGL2;20191228;156
SLFGL2;20191229;152
SLFGL2;20191230;148
SLFGL2;20191231;145
SLFGL2;20200101;143
SLFGL2;20200102;141
SLFGL2;20200103;139
SLFGL2;20200104;147
SLFGL2;20200105;145
SLFGL2;20200106;143
SLFGL2;20200107;143
SLFGL2;20200108;142
SLFGL2;20200109;140
SLFGL2;20200110;139
SLFGL2;20200111;138
SLFGL2;20200112;138
SLFGL2;20200113;136
SLFGL2;20200114;137
SLFGL2;20200115;136
SLFGL2;20200116;135
SLFGL2;20200117;135
SLFGL2;20200118;164
SLFGL2;20200119;167
SLFGL2;20200120;161
SLFGL2;20200121;158
SLFGL2;20200122;156
SLFGL2;20200123;152
SLFGL2;20200124;152
SLFGL2;20200125;150
SLFGL2;20200126;149
SLFGL2;20200127;145
SLFGL2;20200128;162
SLFGL2;20200129;229
SLFGL2;20200130;214
SLFGL2;20200131;174
SLFGL2;20200201;166
SLFGL2;20200202;158
SLFGL2;20200203;146
SLFGL2;20200204;177
SLFGL2;20200205;189
SLFGL2;20200206;181
SLFGL2;20200207;173
SLFGL2;20200208;171
SLFGL2;20200209;169
SLFGL2;20200210;164
SLFGL2;20200211;197
SLFGL2;20200212;217
SLFGL2;20200213;206
