stn;time;htoautj0
SLFSA2;20161123;2
SLFSA2;20161124;2
SLFSA2;20161125;2
SLFSA2;20161126;2
SLFSA2;20161127;2
SLFSA2;20161128;2
SLFSA2;20161129;2
SLFSA2;20161130;39
SLFSA2;20161201;35
SLFSA2;20161202;28
SLFSA2;20161203;35
SLFSA2;20161204;35
SLFSA2;20161205;35
SLFSA2;20161206;35
SLFSA2;20161207;31
SLFSA2;20161208;31
SLFSA2;20161209;31
SLFSA2;20161210;31
SLFSA2;20161211;32
SLFSA2;20161212;31
SLFSA2;20161213;31
SLFSA2;20161214;30
SLFSA2;20161215;30
SLFSA2;20161216;29
SLFSA2;20161217;29
SLFSA2;20161218;29
SLFSA2;20161219;28
SLFSA2;20161220;29
SLFSA2;20161221;29
SLFSA2;20161222;29
SLFSA2;20161223;25
SLFSA2;20161224;28
SLFSA2;20161225;27
SLFSA2;20161226;28
SLFSA2;20161227;26
SLFSA2;20161228;23
SLFSA2;20161229;25
SLFSA2;20161230;23
SLFSA2;20161231;26
SLFSA2;20170101;25
SLFSA2;20170102;23
SLFSA2;20170103;22
SLFSA2;20170104;22
SLFSA2;20170105;22
SLFSA2;20170106;23
SLFSA2;20170107;21
SLFSA2;20170108;23
SLFSA2;20170109;23
SLFSA2;20170110;18
SLFSA2;20170111;25
SLFSA2;20170112;21
SLFSA2;20170113;47
SLFSA2;20170114;42
SLFSA2;20170115;39
SLFSA2;20170116;38
SLFSA2;20170117;38
SLFSA2;20170118;37
SLFSA2;20170119;37
SLFSA2;20170120;37
SLFSA2;20170121;37
SLFSA2;20170122;36
SLFSA2;20170123;36
SLFSA2;20170124;36
SLFSA2;20170125;35
SLFSA2;20170126;35
SLFSA2;20170127;36
SLFSA2;20170128;35
SLFSA2;20170129;35
SLFSA2;20170130;38
SLFSA2;20170131;39
SLFSA2;20170201;44
SLFSA2;20170202;43
SLFSA2;20170203;44
SLFSA2;20170204;48
SLFSA2;20170205;54
SLFSA2;20170206;52
SLFSA2;20170207;51
SLFSA2;20170208;54
SLFSA2;20170209;51
SLFSA2;20170210;52
SLFSA2;20170211;52
SLFSA2;20170212;51
SLFSA2;20170213;50
SLFSA2;20170214;49
SLFSA2;20170215;49
SLFSA2;20170216;49
SLFSA2;20170217;49
SLFSA2;20170218;49
SLFSA2;20170219;48
SLFSA2;20170220;48
SLFSA2;20170221;46
SLFSA2;20170222;46
SLFSA2;20170223;45
SLFSA2;20170224;45
SLFSA2;20170225;46
SLFSA2;20170226;44
SLFSA2;20170227;43
SLFSA2;20170228;49
SLFSA2;20170301;48
SLFSA2;20170302;63
SLFSA2;20170303;60
SLFSA2;20170304;72
SLFSA2;20170305;75
SLFSA2;20170306;89
SLFSA2;20170307;88
SLFSA2;20170308;84
SLFSA2;20170309;89
SLFSA2;20170310;83
SLFSA2;20170311;79
SLFSA2;20170312;76
SLFSA2;20170313;75
SLFSA2;20170314;73
SLFSA2;20170315;71
SLFSA2;20170316;69
SLFSA2;20170317;67
SLFSA2;20170318;65
SLFSA2;20170319;66
SLFSA2;20170320;64
SLFSA2;20170321;63
SLFSA2;20170322;63
SLFSA2;20170323;67
SLFSA2;20170324;67
SLFSA2;20170325;66
SLFSA2;20170326;75
SLFSA2;20170327;70
SLFSA2;20170328;67
SLFSA2;20170329;67
SLFSA2;20170330;64
SLFSA2;20170331;63
SLFSA2;20170401;61
SLFSA2;20170402;82
SLFSA2;20170403;73
SLFSA2;20170404;70
SLFSA2;20170405;67
SLFSA2;20170406;65
SLFSA2;20170407;64
SLFSA2;20170408;62
SLFSA2;20170409;59
SLFSA2;20170410;57
SLFSA2;20170411;55
SLFSA2;20170412;52
SLFSA2;20170413;49
SLFSA2;20170414;45
SLFSA2;20170415;46
SLFSA2;20170416;47
SLFSA2;20170417;48
SLFSA2;20170418;48
SLFSA2;20170419;48
SLFSA2;20170420;48
SLFSA2;20170421;47
SLFSA2;20170422;45
SLFSA2;20170423;42
SLFSA2;20170424;39
SLFSA2;20170425;39
SLFSA2;20170426;41
SLFSA2;20170427;42
SLFSA2;20170428;67
SLFSA2;20170429;59
SLFSA2;20170430;53
SLFSA2;20170501;63
SLFSA2;20170502;58
SLFSA2;20170503;56
SLFSA2;20170504;64
SLFSA2;20170505;59
SLFSA2;20170506;59
SLFSA2;20170507;58
SLFSA2;20170508;55
SLFSA2;20170509;53
SLFSA2;20170510;49
SLFSA2;20170511;48
SLFSA2;20170512;47
SLFSA2;20170513;41
SLFSA2;20170514;40
SLFSA2;20170515;34
SLFSA2;20170516;27
SLFSA2;20170517;19
SLFSA2;20170518;15
SLFSA2;20170519;25
SLFSA2;20170520;24
SLFSA2;20170521;14
SLFSA2;20170522;10
SLFSA2;20170523;9
SLFSA2;20170524;9
SLFSA2;20170525;7
SLFSA2;20170526;10
SLFSA2;20170527;7
SLFSA2;20170528;7
SLFSA2;20170529;3
SLFSA2;20170530;8
SLFSA2;20170531;8
SLFSA2;20170601;9
