 

stn;time;htoautj0
SLFFIS;20191001;4
SLFFIS;20191002;8
SLFFIS;20191003;18
SLFFIS;20191004;8
SLFFIS;20191005;18
SLFFIS;20191006;9
SLFFIS;20191007;10
SLFFIS;20191008;4
SLFFIS;20191009;12
SLFFIS;20191010;8
SLFFIS;20191011;9
SLFFIS;20191012;7
SLFFIS;20191013;7
SLFFIS;20191014;4
SLFFIS;20191015;13
SLFFIS;20191016;7
SLFFIS;20191017;10
SLFFIS;20191018;9
SLFFIS;20191019;4
SLFFIS;20191020;6
SLFFIS;20191021;8
SLFFIS;20191022;7
SLFFIS;20191023;6
SLFFIS;20191024;5
SLFFIS;20191025;6
SLFFIS;20191026;6
SLFFIS;20191027;6
SLFFIS;20191028;6
SLFFIS;20191029;6
SLFFIS;20191030;8
SLFFIS;20191031;7
SLFFIS;20191101;4
SLFFIS;20191102;4
SLFFIS;20191103;6
SLFFIS;20191104;6
SLFFIS;20191105;9
SLFFIS;20191106;16
SLFFIS;20191107;14
SLFFIS;20191108;26
SLFFIS;20191109;22
SLFFIS;20191110;20
SLFFIS;20191111;18
SLFFIS;20191112;17
SLFFIS;20191113;17
SLFFIS;20191114;16
SLFFIS;20191115;31
SLFFIS;20191116;29
SLFFIS;20191117;40
SLFFIS;20191118;36
SLFFIS;20191119;33
SLFFIS;20191120;32
SLFFIS;20191121;31
SLFFIS;20191122;29
SLFFIS;20191123;27
SLFFIS;20191124;26
SLFFIS;20191125;23
SLFFIS;20191126;23
SLFFIS;20191127;28
SLFFIS;20191128;29
SLFFIS;20191129;40
SLFFIS;20191130;41
SLFFIS;20191201;41
SLFFIS;20191202;39
SLFFIS;20191203;37
SLFFIS;20191204;36
SLFFIS;20191205;34
SLFFIS;20191206;34
SLFFIS;20191207;32
SLFFIS;20191208;31
SLFFIS;20191209;48
SLFFIS;20191210;59
SLFFIS;20191211;52
SLFFIS;20191212;54
SLFFIS;20191213;56
SLFFIS;20191214;44
SLFFIS;20191215;42
SLFFIS;20191216;41
SLFFIS;20191217;39
SLFFIS;20191218;38
SLFFIS;20191219;37
SLFFIS;20191220;36
SLFFIS;20191221;43
SLFFIS;20191222;62
SLFFIS;20191223;52
SLFFIS;20191224;70
SLFFIS;20191225;66
SLFFIS;20191226;64
SLFFIS;20191227;80
SLFFIS;20191228;75
SLFFIS;20191229;71
SLFFIS;20191230;69
SLFFIS;20191231;67
SLFFIS;20200101;64
SLFFIS;20200102;63
SLFFIS;20200103;62
SLFFIS;20200104;60
SLFFIS;20200105;59
SLFFIS;20200106;59
SLFFIS;20200107;57
SLFFIS;20200108;57
SLFFIS;20200109;57
SLFFIS;20200110;57
SLFFIS;20200111;56
SLFFIS;20200112;56
SLFFIS;20200113;56
SLFFIS;20200114;55
SLFFIS;20200115;54
SLFFIS;20200116;54
SLFFIS;20200117;56
SLFFIS;20200118;71
SLFFIS;20200119;72
SLFFIS;20200120;71
SLFFIS;20200121;69
SLFFIS;20200122;53
SLFFIS;20200123;54
SLFFIS;20200124;53
SLFFIS;20200125;54
SLFFIS;20200126;53
SLFFIS;20200127;54
SLFFIS;20200128;70
SLFFIS;20200129;77
SLFFIS;20200130;74
SLFFIS;20200131;63
SLFFIS;20200201;64
SLFFIS;20200202;62
SLFFIS;20200203;56
SLFFIS;20200204;81
SLFFIS;20200205;74
SLFFIS;20200206;73
SLFFIS;20200207;72
SLFFIS;20200208;70
SLFFIS;20200209;69
SLFFIS;20200210;62
SLFFIS;20200211;62
SLFFIS;20200212;61
SLFFIS;20200213;61
SLFFIS;20200214;67
SLFFIS;20200215;66
SLFFIS;20200216;63
SLFFIS;20200217;63
SLFFIS;20200218;67
SLFFIS;20200219;68
SLFFIS;20200220;69
SLFFIS;20200221;67
SLFFIS;20200222;68
SLFFIS;20200223;61
SLFFIS;20200224;59
SLFFIS;20200225;59
SLFFIS;20200226;78
SLFFIS;20200227;79
SLFFIS;20200228;80
SLFFIS;20200229;76
SLFFIS;20200301;78
SLFFIS;20200302;82
SLFFIS;20200303;96
SLFFIS;20200304;92
SLFFIS;20200305;95
SLFFIS;20200306;96
SLFFIS;20200307;95
SLFFIS;20200308;93
SLFFIS;20200309;104
SLFFIS;20200310;112
SLFFIS;20200311;92
SLFFIS;20200312;87
SLFFIS;20200313;84
SLFFIS;20200314;84
SLFFIS;20200315;83
SLFFIS;20200316;84
SLFFIS;20200317;83
SLFFIS;20200318;82
SLFFIS;20200319;81
SLFFIS;20200320;79
SLFFIS;20200321;79
SLFFIS;20200322;77
SLFFIS;20200323;77
SLFFIS;20200324;76
SLFFIS;20200325;74
SLFFIS;20200326;76
SLFFIS;20200327;76
SLFFIS;20200328;76
SLFFIS;20200329;80
SLFFIS;20200330;81
SLFFIS;20200331;80
SLFFIS;20200401;78
SLFFIS;20200402;78
SLFFIS;20200403;77
SLFFIS;20200404;76
SLFFIS;20200405;74
SLFFIS;20200406;72
SLFFIS;20200407;70
SLFFIS;20200408;67
SLFFIS;20200409;63
SLFFIS;20200410;61
SLFFIS;20200411;59
SLFFIS;20200412;57
SLFFIS;20200413;56
SLFFIS;20200414;57
SLFFIS;20200415;54
SLFFIS;20200416;51
SLFFIS;20200417;48
SLFFIS;20200418;43
SLFFIS;20200419;42
SLFFIS;20200420;36
SLFFIS;20200421;30
SLFFIS;20200422;23
SLFFIS;20200423;18
SLFFIS;20200424;15
SLFFIS;20200425;11
SLFFIS;20200426;8
SLFFIS;20200427;2
SLFFIS;20200428;3
SLFFIS;20200429;3
SLFFIS;20200430;4
SLFFIS;20200501;4
SLFFIS;20200502;11
SLFFIS;20200503;8
SLFFIS;20200504;1
SLFFIS;20200505;3
SLFFIS;20200506;3
SLFFIS;20200507;0
SLFFIS;20200508;2
SLFFIS;20200509;2
SLFFIS;20200510;2
SLFFIS;20200511;5
SLFFIS;20200512;1
SLFFIS;20200513;4
SLFFIS;20200514;5
SLFFIS;20200515;5
SLFFIS;20200516;3
SLFFIS;20200517;3
SLFFIS;20200518;4
SLFFIS;20200519;4
SLFFIS;20200520;3
SLFFIS;20200521;2
SLFFIS;20200522;2
SLFFIS;20200523;4
SLFFIS;20200524;3
SLFFIS;20200525;4
SLFFIS;20200526;3
SLFFIS;20200527;1
SLFFIS;20200528;3
SLFFIS;20200529;3
SLFFIS;20200530;5
SLFFIS;20200531;2
SLFFIS;20200601;4

