 

stn;time;htoautj0
SLFFIS;20161015;6
SLFFIS;20161016;6
SLFFIS;20161017;7
SLFFIS;20161018;9
SLFFIS;20161019;5
SLFFIS;20161020;7
SLFFIS;20161021;7
SLFFIS;20161022;6
SLFFIS;20161023;7
SLFFIS;20161024;5
SLFFIS;20161025;5
SLFFIS;20161026;2
SLFFIS;20161027;5
SLFFIS;20161028;6
SLFFIS;20161029;3
SLFFIS;20161030;3
SLFFIS;20161031;3
SLFFIS;20161101;4
SLFFIS;20161102;4
SLFFIS;20161103;9
SLFFIS;20161104;3
SLFFIS;20161105;5
SLFFIS;20161106;19
SLFFIS;20161107;13
SLFFIS;20161108;18
SLFFIS;20161109;21
SLFFIS;20161110;40
SLFFIS;20161111;54
SLFFIS;20161112;47
SLFFIS;20161113;46
SLFFIS;20161114;49
SLFFIS;20161115;45
SLFFIS;20161116;41
SLFFIS;20161117;34
SLFFIS;20161118;31
SLFFIS;20161119;46
SLFFIS;20161120;31
SLFFIS;20161121;26
SLFFIS;20161122;26
SLFFIS;20161123;25
SLFFIS;20161124;24
SLFFIS;20161125;23
SLFFIS;20161126;21
SLFFIS;20161127;22
SLFFIS;20161128;22
SLFFIS;20161129;22
SLFFIS;20161130;22
SLFFIS;20161201;21
SLFFIS;20161202;21
SLFFIS;20161203;22
SLFFIS;20161204;22
SLFFIS;20161205;22
SLFFIS;20161206;21
SLFFIS;20161207;21
SLFFIS;20161208;22
SLFFIS;20161209;22
SLFFIS;20161210;22
SLFFIS;20161211;22
SLFFIS;20161212;22
SLFFIS;20161213;22
SLFFIS;20161214;22
SLFFIS;20161215;23
SLFFIS;20161216;22
SLFFIS;20161217;22
SLFFIS;20161218;23
SLFFIS;20161219;23
SLFFIS;20161220;23
SLFFIS;20161221;23
SLFFIS;20161222;23
SLFFIS;20161223;23
SLFFIS;20161224;23
SLFFIS;20161225;22
SLFFIS;20161226;22
SLFFIS;20161227;21
SLFFIS;20161228;21
SLFFIS;20161229;20
SLFFIS;20161230;21
SLFFIS;20161231;20
SLFFIS;20170101;21
SLFFIS;20170102;22
SLFFIS;20170103;26
SLFFIS;20170104;27
SLFFIS;20170105;21
SLFFIS;20170106;22
SLFFIS;20170107;22
SLFFIS;20170108;31
SLFFIS;20170109;29
SLFFIS;20170110;41
SLFFIS;20170111;40
SLFFIS;20170112;38
SLFFIS;20170113;42
SLFFIS;20170114;51
SLFFIS;20170115;53
SLFFIS;20170116;58
SLFFIS;20170117;72
SLFFIS;20170118;64
SLFFIS;20170119;54
SLFFIS;20170120;52
SLFFIS;20170121;52
SLFFIS;20170122;47
SLFFIS;20170123;46
SLFFIS;20170124;46
SLFFIS;20170125;45
SLFFIS;20170126;46
SLFFIS;20170127;39
SLFFIS;20170128;37
SLFFIS;20170129;42
SLFFIS;20170130;44
SLFFIS;20170131;52
SLFFIS;20170201;48
SLFFIS;20170202;48
SLFFIS;20170203;50
SLFFIS;20170204;52
SLFFIS;20170205;62
SLFFIS;20170206;86
SLFFIS;20170207;87
SLFFIS;20170208;96
SLFFIS;20170209;93
SLFFIS;20170210;89
SLFFIS;20170211;87
SLFFIS;20170212;83
SLFFIS;20170213;80
SLFFIS;20170214;77
SLFFIS;20170215;75
SLFFIS;20170216;75
SLFFIS;20170217;81
SLFFIS;20170218;78
SLFFIS;20170219;78
SLFFIS;20170220;77
SLFFIS;20170221;76
SLFFIS;20170222;75
SLFFIS;20170223;73
SLFFIS;20170224;81
SLFFIS;20170225;80
SLFFIS;20170226;79
SLFFIS;20170227;77
SLFFIS;20170228;82
SLFFIS;20170301;92
SLFFIS;20170302;97
SLFFIS;20170303;94
SLFFIS;20170304;92
SLFFIS;20170305;91
SLFFIS;20170306;108
SLFFIS;20170307;126
SLFFIS;20170308;119
SLFFIS;20170309;122
SLFFIS;20170310;115
SLFFIS;20170311;110
SLFFIS;20170312;108
SLFFIS;20170313;107
SLFFIS;20170314;105
SLFFIS;20170315;103
SLFFIS;20170316;102
SLFFIS;20170317;98
SLFFIS;20170318;106
SLFFIS;20170319;98
SLFFIS;20170320;96
SLFFIS;20170321;94
SLFFIS;20170322;95
SLFFIS;20170323;98
SLFFIS;20170324;96
SLFFIS;20170325;94
SLFFIS;20170326;93
SLFFIS;20170327;92
SLFFIS;20170328;90
SLFFIS;20170329;89
SLFFIS;20170330;87
SLFFIS;20170331;83
SLFFIS;20170401;81
SLFFIS;20170402;82
SLFFIS;20170403;80
SLFFIS;20170404;84
SLFFIS;20170405;96
SLFFIS;20170406;91
SLFFIS;20170407;87
SLFFIS;20170408;85
SLFFIS;20170409;80
SLFFIS;20170410;79
SLFFIS;20170411;75
SLFFIS;20170412;73
SLFFIS;20170413;70
SLFFIS;20170414;68
SLFFIS;20170415;70
SLFFIS;20170416;76
SLFFIS;20170417;73
SLFFIS;20170418;82
SLFFIS;20170419;100
