stn;time;htoautj0

SLFSA2;20191021;5
SLFSA2;20191022;3
SLFSA2;20191023;4
SLFSA2;20191024;5
SLFSA2;20191025;3
SLFSA2;20191026;4
SLFSA2;20191027;4
SLFSA2;20191028;6
SLFSA2;20191029;6
SLFSA2;20191030;4
SLFSA2;20191031;4
SLFSA2;20191101;6
SLFSA2;20191102;4
SLFSA2;20191103;7
SLFSA2;20191104;7
SLFSA2;20191105;11
SLFSA2;20191106;13
SLFSA2;20191107;12
SLFSA2;20191108;33
SLFSA2;20191109;24
SLFSA2;20191110;30
SLFSA2;20191111;22
SLFSA2;20191112;27
SLFSA2;20191113;25
SLFSA2;20191114;23
SLFSA2;20191115;35
SLFSA2;20191116;34
SLFSA2;20191117;79
SLFSA2;20191118;68
SLFSA2;20191119;60
SLFSA2;20191120;53
SLFSA2;20191121;49
SLFSA2;20191122;44
SLFSA2;20191123;52
SLFSA2;20191124;56
SLFSA2;20191125;57
SLFSA2;20191126;54
SLFSA2;20191127;58
SLFSA2;20191128;60
SLFSA2;20191129;66
SLFSA2;20191130;61
SLFSA2;20191201;64
SLFSA2;20191202;61
SLFSA2;20191203;59
SLFSA2;20191204;58
SLFSA2;20191205;56
SLFSA2;20191206;55
SLFSA2;20191207;55
SLFSA2;20191208;55
SLFSA2;20191209;62
SLFSA2;20191210;53
SLFSA2;20191211;53
SLFSA2;20191212;59
SLFSA2;20191213;82
SLFSA2;20191214;55
SLFSA2;20191215;55
SLFSA2;20191216;55
SLFSA2;20191217;57
SLFSA2;20191218;56
SLFSA2;20191219;57
SLFSA2;20191220;56
SLFSA2;20191221;59
SLFSA2;20191222;66
SLFSA2;20191223;66
SLFSA2;20191224;79
SLFSA2;20191225;68
SLFSA2;20191226;67
SLFSA2;20191227;76
SLFSA2;20191228;73
SLFSA2;20191229;71
SLFSA2;20191230;70
SLFSA2;20191231;69
SLFSA2;20200101;68
SLFSA2;20200102;67
SLFSA2;20200103;67
SLFSA2;20200104;66
SLFSA2;20200105;65
SLFSA2;20200106;65
SLFSA2;20200107;61
SLFSA2;20200108;60
SLFSA2;20200109;60
SLFSA2;20200110;60
SLFSA2;20200111;59
SLFSA2;20200112;59
SLFSA2;20200113;59
SLFSA2;20200114;58
SLFSA2;20200115;58
SLFSA2;20200116;58
SLFSA2;20200117;57
SLFSA2;20200118;58
SLFSA2;20200119;58
SLFSA2;20200120;58
SLFSA2;20200121;58
SLFSA2;20200122;58
SLFSA2;20200123;58
SLFSA2;20200124;58
SLFSA2;20200125;57
SLFSA2;20200126;57
SLFSA2;20200127;58
SLFSA2;20200128;82
SLFSA2;20200129;93
SLFSA2;20200130;86
SLFSA2;20200131;85
SLFSA2;20200201;84
SLFSA2;20200202;96
SLFSA2;20200203;106
SLFSA2;20200204;112
SLFSA2;20200205;109
SLFSA2;20200206;107
SLFSA2;20200207;105
SLFSA2;20200208;102
SLFSA2;20200209;101
SLFSA2;20200210;92
SLFSA2;20200211;102
SLFSA2;20200212;90
SLFSA2;20200213;94
SLFSA2;20200214;105
SLFSA2;20200215;103
SLFSA2;20200216;101
SLFSA2;20200217;99
SLFSA2;20200218;100
SLFSA2;20200219;103
SLFSA2;20200220;100
SLFSA2;20200221;99
SLFSA2;20200222;97
SLFSA2;20200223;95
SLFSA2;20200224;93
SLFSA2;20200225;93
SLFSA2;20200226;106
SLFSA2;20200227;119
SLFSA2;20200228;114
SLFSA2;20200229;112
SLFSA2;20200301;112
SLFSA2;20200302;124
SLFSA2;20200303;122
SLFSA2;20200304;118
SLFSA2;20200305;129
SLFSA2;20200306;129
SLFSA2;20200307;125
SLFSA2;20200308;122
SLFSA2;20200309;124
SLFSA2;20200310;137
SLFSA2;20200311;117
SLFSA2;20200312;113
SLFSA2;20200313;111
SLFSA2;20200314;111
SLFSA2;20200315;110
SLFSA2;20200316;110
SLFSA2;20200317;109
SLFSA2;20200318;107
SLFSA2;20200319;105
SLFSA2;20200320;105
SLFSA2;20200321;103
SLFSA2;20200322;101
SLFSA2;20200323;100
SLFSA2;20200324;101
SLFSA2;20200325;101
SLFSA2;20200326;100
SLFSA2;20200327;99
SLFSA2;20200328;98
SLFSA2;20200329;104
SLFSA2;20200330;103
SLFSA2;20200331;102
SLFSA2;20200401;101
SLFSA2;20200402;101
SLFSA2;20200403;101
SLFSA2;20200404;99
SLFSA2;20200405;98
SLFSA2;20200406;96
SLFSA2;20200407;95
SLFSA2;20200408;94
SLFSA2;20200409;92
SLFSA2;20200410;90
SLFSA2;20200411;89
SLFSA2;20200412;86
SLFSA2;20200413;85
SLFSA2;20200414;84
SLFSA2;20200415;81
SLFSA2;20200416;79
SLFSA2;20200417;75
SLFSA2;20200418;72
SLFSA2;20200419;70
SLFSA2;20200420;66
SLFSA2;20200421;65
SLFSA2;20200422;61
SLFSA2;20200423;58
SLFSA2;20200424;54
SLFSA2;20200425;53
SLFSA2;20200426;53
SLFSA2;20200427;49
SLFSA2;20200428;49
SLFSA2;20200429;52
SLFSA2;20200430;60
SLFSA2;20200501;67
SLFSA2;20200502;65
SLFSA2;20200503;66
SLFSA2;20200504;57
SLFSA2;20200505;52
SLFSA2;20200506;47
SLFSA2;20200507;38
SLFSA2;20200508;32
SLFSA2;20200509;28
SLFSA2;20200510;20
SLFSA2;20200511;18
SLFSA2;20200512;13
SLFSA2;20200513;9
SLFSA2;20200514;5
SLFSA2;20200515;5
SLFSA2;20200516;5
SLFSA2;20200517;3
SLFSA2;20200518;4
SLFSA2;20200519;4
SLFSA2;20200520;4
